Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11917063_1	(1.0, 9.081613088771011)	(2.0, 2.5819645938518567)	(3.0, 1.361283313095162)	(4.0, 1.0481242410685754)	(5.0, 0.8627851984405956)	(6.0, 0.5751901322937304)	(7.0, 1.0289512366587843)	(8.0, 0.2556400587972135)	(9.0, 0.3451140793762383)	('>10', 10.494024413625615)	('>50', 13.312456061864895)	('>100', 30.338083977759318)	('>500', 28.714769604397013)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917063_2	(1.0, 17.850067105515436)	(2.0, 3.4383587908225217)	(3.0, 2.1473764938965934)	(4.0, 1.815044417460216)	(5.0, 1.5018853454336294)	(6.0, 1.1503802645874608)	(7.0, 1.5210583498434205)	(8.0, 1.5338403527832811)	(9.0, 0.9203042116699687)	('>10', 25.046334760656997)	('>50', 18.572250271617563)	('>100', 24.503099635712918)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917064_1	(1.0, 6.739058355437666)	(2.0, 1.3345490716180373)	(3.0, 1.0568633952254642)	(4.0, 0.7460212201591512)	(5.0, 0.7874668435013263)	(6.0, 0.571949602122016)	(7.0, 0.7543103448275862)	(8.0, 0.3978779840848806)	(9.0, 0.44761273209549074)	('>10', 19.624502652519894)	('>50', 9.718998673740053)	('>100', 14.837533156498676)	('>500', 0.0)	('>1k', 42.98325596816976)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917064_2	(1.0, 13.755802387267904)	(2.0, 3.4565649867374004)	(3.0, 2.623507957559682)	(4.0, 2.271220159151194)	(5.0, 2.0722811671087533)	(6.0, 2.1883289124668437)	(7.0, 2.320954907161804)	(8.0, 1.5915119363395225)	(9.0, 1.4920424403183024)	('>10', 21.153846153846153)	('>50', 6.038627320954907)	('>100', 19.58305702917772)	('>500', 15.741047745358088)	('>1k', 5.711206896551724)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917065_1	(1.0, 27.388535031847134)	(2.0, 7.643312101910828)	(3.0, 3.821656050955414)	(4.0, 10.191082802547772)	(5.0, 3.1847133757961785)	(6.0, 0.0)	(7.0, 4.45859872611465)	(8.0, 0.0)	(9.0, 11.464968152866243)	('>10', 31.84713375796178)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917065_2	(1.0, 42.038216560509554)	(2.0, 17.8343949044586)	(3.0, 21.019108280254777)	(4.0, 7.643312101910828)	(5.0, 6.369426751592357)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 5.095541401273886)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917066_1	(1.0, 2.9019803213351603)	(2.0, 0.8718395815170008)	(3.0, 0.33628098144227175)	(4.0, 0.298916427948686)	(5.0, 0.18682276746792875)	(6.0, 0.298916427948686)	(7.0, 0.4359197907585004)	(8.0, 0.597832855897372)	(9.0, 0.22418732096151453)	('>10', 3.263171005106489)	('>50', 3.512268028397061)	('>100', 29.567816664590858)	('>500', 43.39270145721758)	('>1k', 14.111346369410885)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917066_2	(1.0, 6.289699838086935)	(2.0, 1.1458463071366296)	(3.0, 0.5231037489102005)	(4.0, 0.39855523726491465)	(5.0, 0.3113712791132146)	(6.0, 0.44837464192302906)	(7.0, 0.17436791630340018)	(8.0, 0.09963880931622866)	(9.0, 0.22418732096151453)	('>10', 17.038236393075103)	('>50', 16.465313239506788)	('>100', 56.88130526840204)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917067_1	(1.0, 5.707052441229656)	(2.0, 1.851717902350814)	(3.0, 1.4755877034358047)	(4.0, 1.3598553345388789)	(5.0, 0.976491862567812)	(6.0, 1.2151898734177216)	(7.0, 1.3164556962025316)	(8.0, 0.9837251356238699)	(9.0, 0.7160940325497287)	('>10', 25.526220614828212)	('>50', 11.204339963833634)	('>100', 34.849909584086795)	('>500', 12.817359855334539)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917067_2	(1.0, 13.52622061482821)	(2.0, 5.193490054249548)	(3.0, 4.448462929475587)	(4.0, 3.587703435804702)	(5.0, 2.640144665461121)	(6.0, 2.2567811934900543)	(7.0, 1.7721518987341773)	(8.0, 2.430379746835443)	(9.0, 1.562386980108499)	('>10', 35.08860759493671)	('>50', 18.53887884267631)	('>100', 3.7685352622061483)	('>500', 5.18625678119349)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
