.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11917121_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917121_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917122_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917122_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917123_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917123_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917124_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917124_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917125_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917125_2	1	1	0.25	0.25	0.25	1	0.5	1	0.25	1
SRR11917126_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917126_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917127_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917127_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917128_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917128_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917129_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917129_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917130_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917130_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917131_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917131_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917132_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917132_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917133_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917133_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917134_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917134_2	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917135_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917135_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917136_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917136_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917137_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917137_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917138_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917138_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917139_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917139_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917140_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917140_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917141_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917141_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917142_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917142_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917143_1	1	1	1	0.25	0.25	1	1	1	0.25	1
SRR11917143_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917144_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917144_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917145_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917145_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917146_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
