names,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Experiment,isolate,create_date,sample_name,block,
SRR11917135,AMPLICON,586,14299884,SAMN15057986,7875206,SRX8463731,948exER2017,2020-06-03T12:09:00Z,1238,4,
SRR11917136,AMPLICON,587,1153063,SAMN15057985,710959,SRX8463730,582rpJO2017,2020-06-03T12:09:00Z,1238,3,
SRR11917137,AMPLICON,588,3457246,SAMN15057984,1967617,SRX8463729,358usSO2017,2020-06-03T12:09:00Z,1238,2,
SRR11917138,AMPLICON,586,3903262,SAMN15057983,2261176,SRX8463728,533yxWU2017,2020-06-03T12:09:00Z,1238,1,
SRR11917139,AMPLICON,592,9589805,SAMN15057982,6758611,SRX8463727,620dtOY2017,2020-06-03T12:09:00Z,1231,9,
SRR11917140,AMPLICON,591,9982031,SAMN15057981,6963515,SRX8463726,226qcAR2017,2020-06-03T12:09:00Z,1231,6,
SRR11917141,AMPLICON,589,13127047,SAMN15057980,9300651,SRX8463725,129ftPS2017,2020-06-03T12:09:00Z,1231,5,
SRR11917142,AMPLICON,592,6602152,SAMN15057979,4636265,SRX8463724,791wrML2017,2020-06-03T12:09:00Z,1231,3,
SRR11917143,AMPLICON,592,2370,SAMN15058037,81926,SRX8463723,815jzXC2017,2020-06-03T12:09:00Z,1320,1,
SRR11917144,AMPLICON,562,15308540,SAMN15058036,10846493,SRX8463722,151qmBE2017,2020-06-03T12:09:00Z,1319,9,
SRR11917145,AMPLICON,591,7233129,SAMN15058035,5182614,SRX8463721,457krAF2017,2020-06-03T12:09:00Z,1319,6,
SRR11917146,AMPLICON,571,9298185,SAMN15058034,6628051,SRX8463720,409drZG2017,2020-06-03T12:09:00Z,1319,5,
SRR11917147,AMPLICON,592,10137205,SAMN15058033,7047210,SRX8463719,137wlZD2017,2020-06-03T12:09:00Z,1319,3,
SRR11917148,AMPLICON,593,6344556,SAMN15058032,4578923,SRX8463718,402uvNF2017,2020-06-03T12:09:00Z,1319,2,
SRR11917149,AMPLICON,590,7059431,SAMN15058031,4183367,SRX8463717,893qqXH2017,2020-06-03T12:09:00Z,1319,8,
SRR11917150,AMPLICON,583,3623704,SAMN15058030,2059446,SRX8463716,296iyQO2017,2020-06-03T12:09:00Z,1319,7,
SRR11917151,AMPLICON,579,4735310,SAMN15058029,2732078,SRX8463715,83qqWM2017,2020-06-03T12:09:00Z,1319,4,
SRR11917152,AMPLICON,594,8633790,SAMN15057867,6237764,SRX8463714,17hjQF2017,2020-06-03T12:09:00Z,1111,9,
SRR11917153,AMPLICON,274,84539,SAMN15058028,128267,SRX8463713,826cuKA2017,2020-06-03T12:09:00Z,1319,10,
SRR11917154,AMPLICON,566,3686427,SAMN15058027,2120223,SRX8463712,636tdLD2017,2020-06-03T12:09:00Z,1319,1,
SRR11917155,AMPLICON,519,6059123,SAMN15058026,3356985,SRX8463711,751snGP2017,2020-06-03T12:09:00Z,1311,4,
SRR11917156,AMPLICON,594,11410652,SAMN15058025,8504211,SRX8463710,174nlRH2017,2020-06-03T12:09:00Z,1308,9,
SRR11917157,AMPLICON,594,14209788,SAMN15058024,9884404,SRX8463709,191bvBV2017,2020-06-03T12:09:00Z,1308,6,
SRR11917158,AMPLICON,587,13603144,SAMN15058023,9577160,SRX8463708,829elVU2017,2020-06-03T12:09:00Z,1308,5,
SRR11917159,AMPLICON,593,11106241,SAMN15058022,7831993,SRX8463707,438deHY2017,2020-06-03T12:09:00Z,1308,3,
SRR11917160,AMPLICON,595,5263918,SAMN15058021,3829107,SRX8463706,530vsJA2017,2020-06-03T12:09:00Z,1308,2,
SRR11917161,AMPLICON,588,3860952,SAMN15058020,2130341,SRX8463705,901ykCH2017,2020-06-03T12:09:00Z,1308,8,
SRR11917162,AMPLICON,585,22838,SAMN15058019,95388,SRX8463704,964smOA2017,2020-06-03T12:09:00Z,1308,7,
SRR11917163,AMPLICON,594,26550609,SAMN15057866,18367977,SRX8463703,838ayJL2017,2020-06-03T12:09:00Z,1111,6,
SRR11917164,AMPLICON,527,30352424,SAMN15058018,16182731,SRX8463702,630asAS2017,2020-06-03T12:09:00Z,1308,4,
SRR11917165,AMPLICON,566,2588989,SAMN15058017,1524865,SRX8463701,876awBZ2017,2020-06-03T12:09:00Z,1308,3,
SRR11917166,AMPLICON,588,3575593,SAMN15058016,1966441,SRX8463700,409kdYF2017,2020-06-03T12:09:00Z,1308,2,
SRR11917167,AMPLICON,565,1944961,SAMN15058015,1129441,SRX8463699,875frOM2017,2020-06-03T12:09:00Z,1308,1,
