Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR11917077,AMPLICON,585,1134510,PRJNA635907,SAMN15057895,Metagenome or environmental,679660,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463789,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,550dtTQ2017,leaf,52.1718 N 106.5052 W,550dtTQ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1127-3-L,SRP265801
SRR11917078,AMPLICON,586,3247979,PRJNA635907,SAMN15057894,Metagenome or environmental,1805695,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463788,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,196ykOX2017,leaf,52.1718 N 106.5052 W,196ykOX2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1127-2-L,SRP265801
SRR11917079,AMPLICON,586,5169496,PRJNA635907,SAMN15058094,Metagenome or environmental,2795804,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463787,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,657rfZL2017,leaf,52.1718 N 106.5052 W,657rfZL2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1355-3-L,SRP265801
SRR11917080,AMPLICON,585,3821056,PRJNA635907,SAMN15058093,Metagenome or environmental,2177293,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463786,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,135mlKX2017,leaf,52.1718 N 106.5052 W,135mlKX2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1355-2-L,SRP265801
SRR11917081,AMPLICON,585,7333867,PRJNA635907,SAMN15058092,Metagenome or environmental,4007500,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463785,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,134cbMR2017,leaf,52.1718 N 106.5052 W,134cbMR2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1355-10-L,SRP265801
SRR11917082,AMPLICON,584,2829313,PRJNA635907,SAMN15058091,Metagenome or environmental,1633765,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463784,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,710tvAC2017,leaf,52.1718 N 106.5052 W,710tvAC2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1355-1-L,SRP265801
SRR11917083,AMPLICON,592,26907900,PRJNA635907,SAMN15058090,Metagenome or environmental,18635368,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463783,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,742snGM2017,leaf,52.1718 N 106.5052 W,742snGM2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:09:00Z,1,1351w9-L,SRP265801
SRR11917084,AMPLICON,584,8096504,PRJNA635907,SAMN15058089,Metagenome or environmental,5781933,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463782,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,838ecNR2017,leaf,52.1718 N 106.5052 W,838ecNR2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1351w6-L,SRP265801
SRR11917085,AMPLICON,583,4671051,PRJNA635907,SAMN15057873,Metagenome or environmental,2552277,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463781,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,866zmNH2017,leaf,52.1718 N 106.5052 W,866zmNH2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1117-5-L,SRP265801
SRR11917086,AMPLICON,585,14251785,PRJNA635907,SAMN15058088,Metagenome or environmental,9942396,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463780,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,510zwXS2017,leaf,52.1718 N 106.5052 W,510zwXS2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:09:00Z,1,1351w5-L,SRP265801
SRR11917087,AMPLICON,590,9779851,PRJNA635907,SAMN15058087,Metagenome or environmental,6951511,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463779,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,569izAN2017,leaf,52.1718 N 106.5052 W,569izAN2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:09:00Z,1,1351w3-L,SRP265801
SRR11917088,AMPLICON,593,7193286,PRJNA635907,SAMN15058086,Metagenome or environmental,5143258,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463778,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,406zzRT2017,leaf,52.1718 N 106.5052 W,406zzRT2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1351w2-L,SRP265801
SRR11917089,AMPLICON,577,11013522,PRJNA635907,SAMN15058085,Metagenome or environmental,7841217,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX8463777,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,195soQP2017,leaf,52.1718 N 106.5052 W,195soQP2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:09:00Z,1,1351Dupw9-L,SRP265801
SRR11917090,AMPLICON,594,4814865,PRJNA635907,SAMN15058084,Metagenome or environmental,3489002,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463776,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,298krIA2017,leaf,52.1718 N 106.5052 W,298krIA2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1351Dupw2-L,SRP265801
SRR11917091,AMPLICON,584,4115709,PRJNA635907,SAMN15058083,Metagenome or environmental,2251825,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463775,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,627fxGZ2017,leaf,52.1718 N 106.5052 W,627fxGZ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1351-8-L,SRP265801
SRR11917092,AMPLICON,556,3341,PRJNA635907,SAMN15058082,Metagenome or environmental,83198,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463774,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,933gjDO2017,leaf,52.1718 N 106.5052 W,933gjDO2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1351-7-L,SRP265801
SRR11917093,AMPLICON,543,5811906,PRJNA635907,SAMN15058081,Metagenome or environmental,3247377,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463773,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,600mjEG2017,leaf,52.1718 N 106.5052 W,600mjEG2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1351-4-L,SRP265801
